v_x1,v_y1,v_x2,v_y2,v_total1,v_total2
0.0,0.0,0.0,0.0,0.0,0.0
-0.032724123093853766,-0.032693832099006497,-0.0327670647848747,-0.09819095486241876,0.04625748468712627,0.10351398046355736
-0.06540548640782275,-0.06525438141008824,-0.06562041092884849,-0.19632698730541043,0.0923905403461694,0.20700319870690337
-0.09801237063376764,-0.09756052341201922,-0.09865824959409084,-0.29438516603569204,0.13829128868326518,0.3104771749981501
-0.13054499394059274,-0.12952495947467013,-0.13201274777071387,-0.39240662127951814,0.18389864210989798,0.41401729673768617
-0.1629879538687618,-0.16104751409512247,-0.16580341329829396,-0.4903889131025812,0.22913178501147388,0.5176601761342047
-0.19530491747444906,-0.19201089415164527,-0.20013250799968196,-0.5882869169475052,0.27388354142338617,0.6213972299663426
-0.22745668857676607,-0.22229975562520574,-0.23510388694994722,-0.6860551537396159,0.3180467363915784,0.7252210088184577
-0.2594006571472957,-0.2518011379877403,-0.2708232135024831,-0.7836476715704689,0.36151419615330443,0.8291253741923648
-0.291090280764965,-0.2804049019187235,-0.30739820659850275,-0.8810178818167792,0.4041787482981696,0.933105656129519
-0.3224746033768415,-0.30800416973929623,-0.34493892390681163,-0.9781183407570525,0.4459332219064245,1.0371587871446293
-0.3534978163566271,-0.3344957674744827,-0.38355808347776665,-1.0749004668927657,0.48667044766170753,1.1412834078910563
-0.38409886655777503,-0.3597806669239697,-0.4233714255725504,-1.171314183243872,0.5262832579355189,1.2454799395653038
-0.41421111571508584,-0.3837644255499805,-0.46449811513316647,-1.26730747288551,0.5646644868412063,1.3497506176304281
-0.44376205515524086,-0.4063576213859301,-0.5070611839732694,-1.3628258349412115,0.601706970255484,1.4540994810106989
-0.4726730793325384,-0.4274762795418659,-0.5511880101810153,-1.4578116271693322,0.6373035458058112,1.5585323105015831
-0.5008593212099907,-0.44704228624421766,-0.5970108304143501,-1.5522032801984844,0.6713470528224501,1.6630565097707795
-0.5282295519593473,-0.46498378570843363,-0.6446672787201307,-1.6459343674111167,0.703730332254422,1.767680922021124
-0.5546861468579675,-0.48123555451636313,-0.6943009432051497,-1.738932513473858,0.7343462265490375,1.8724155751734362
-0.5801862203894028,-0.4957907589758375,-0.746110543142146,-1.8310790185491563,0.763167430525948,1.9772534776196018
-0.605045495063048,-0.5089485449577059,-0.8005747969802918,-1.9219796409181393,0.7906381425852506,2.082048449403581
-0.6289885098598477,-0.520514026902633,-0.8576866031787341,-2.011538019397168,0.8164321145925769,2.1867582200034272
-0.6512839357661443,-0.5299383258775064,-0.9171073538056099,-2.099949106316814,0.8396459933929854,2.291478157767408
-0.6717641604964185,-0.5371764601794057,-0.978986670450017,-2.1870828904153377,0.860131174123072,2.3961941637660162
-0.6903883516777287,-0.5422986288617906,-1.0435795110184398,-2.2727138720714817,0.8779088101834207,2.5008571610797032
-0.7071141225564739,-0.5453794214177387,-1.1111387700538642,-2.356596294572592,0.893000053541297,2.605412723909608
-0.7218982060571288,-0.5464973196657952,-1.1819133765531977,-2.438461966893676,0.9054260545789474,2.709799991449988
-0.7346970888136927,-0.5457341856190289,-1.256146085952369,-2.5180181554339214,0.9152079619761727,2.8139506783787636
-0.7454676030417733,-0.5431747350247587,-1.3340709582164012,-2.5949455790864255,0.9223669226257324,2.9177881828495726
-0.7541674745308319,-0.5389059967864744,-1.4159105167544377,-2.6688965456825557,0.9269240815798436,3.0212267976787337
-0.760755825456834,-0.5330167589504796,-1.5018725862473536,-2.7394932713423064,0.9289005820261835,3.124171033898606
-0.7651936311441755,-0.5255970023562438,-1.5921468114612431,-2.806326427503911,0.9283175652918984,3.226515068452814
-0.7674441303409548,-0.5167373234105577,-1.686900863747672,-2.868953963319121,0.9251961708742054,3.3281423298526662
-0.7674731890108553,-0.5065283477515783,-1.7862763472171914,-2.9269002535948743,0.9195575364959149,3.428925237318733
-0.7652496180864705,-0.49506013682080313,-1.8903844225170392,-2.9796556244402717,0.9114227981845315,3.5287251104547126
-0.760745446069184,-0.4824215895597891,-1.9993011727357644,-3.026676310132344,0.9008130903735776,3.627392267954893
-0.7539361477967613,-0.4686998415963221,-2.1130627431692597,-3.0673848953327596,0.8877495460246867,3.7247663353136073
-0.7448008311287059,-0.4539796643844591,-2.231660294464687,-3.1011712965527236,0.8722532967691421,3.8206767830389308
-0.7333223837175356,-0.43834286681743095,-2.35503481694563,-3.1273943355534386,0.8543454730674779,3.914943718507058
-0.7192360843448232,-0.42172304425541096,-2.4829992560566305,-3.1454968222504402,0.8337570815769573,4.007422558748378
-0.7018714188407242,-0.4038289489033041,-2.6152853376357745,-3.1551249608800696,0.8097538567724385,4.098113092146327
-0.6827912157225255,-0.3856320809645483,-2.7522464324862255,-3.1550078630931666,0.7841657644509179,4.186757103213997
-0.6644329715139998,-0.36851686572062015,-2.8941318132775224,-3.1435341560622083,0.7597867160956905,4.272915391504351
-0.6475197608326919,-0.35281280076519567,-3.040337877418259,-3.119916100943888,0.7373999681669428,4.356320796933242
-0.6325781292835854,-0.33871526552806663,-3.190037624907466,-3.083576092433729,0.7175535664671099,4.436753493958633
-0.6201401798187781,-0.32640553247981685,-3.3422573915864398,-3.034084111750547,0.7007955581045725,4.514017154242028
-0.6107430056555296,-0.316051416861181,-3.495889195686065,-2.971182545250649,0.6876739903886945,4.587937116582647
-0.6049284169486094,-0.3078074120013006,-3.649707764855421,-2.894809332616383,0.6787369096453273,4.658356774770355
-0.6032429796966124,-0.3018142011703449,-3.8023921947841295,-2.8051185036841573,0.6745323599215541,4.7251324026598995
